x	y
1.826125e-01	1.297776e+00
1.848379e-01	1.287696e+00
1.870904e-01	1.277639e+00
1.893704e-01	1.267604e+00
1.916782e-01	1.257593e+00
1.940140e-01	1.247604e+00
1.963784e-01	1.237639e+00
1.987715e-01	1.227698e+00
2.011939e-01	1.217781e+00
2.036457e-01	1.207887e+00
2.061274e-01	1.198019e+00
2.086394e-01	1.188174e+00
2.111820e-01	1.178355e+00
2.137556e-01	1.168561e+00
2.163605e-01	1.158792e+00
2.189972e-01	1.149048e+00
2.216660e-01	1.139331e+00
2.243673e-01	1.129639e+00
2.271015e-01	1.119974e+00
2.298691e-01	1.110335e+00
2.326704e-01	1.100724e+00
2.355058e-01	1.091139e+00
2.383758e-01	1.081581e+00
2.412808e-01	1.072051e+00
2.442212e-01	1.062549e+00
2.471973e-01	1.053075e+00
2.502098e-01	1.043629e+00
2.532590e-01	1.034212e+00
2.563453e-01	1.024824e+00
2.594693e-01	1.015465e+00
2.626313e-01	1.006135e+00
2.658318e-01	9.968346e-01
2.690714e-01	9.875643e-01
2.723504e-01	9.783242e-01
2.756694e-01	9.691144e-01
2.790289e-01	9.599354e-01
2.824293e-01	9.507874e-01
2.858711e-01	9.416706e-01
2.893548e-01	9.325853e-01
2.928810e-01	9.235318e-01
2.964502e-01	9.145104e-01
3.000629e-01	9.055213e-01
3.037196e-01	8.965648e-01
3.074209e-01	8.876412e-01
3.111673e-01	8.787508e-01
3.149593e-01	8.698938e-01
3.187976e-01	8.610705e-01
3.226826e-01	8.522813e-01
3.266150e-01	8.435263e-01
3.305952e-01	8.348059e-01
3.346240e-01	8.261204e-01
3.387019e-01	8.174700e-01
3.428295e-01	8.088550e-01
3.470074e-01	8.002757e-01
3.512362e-01	7.917324e-01
3.555165e-01	7.832254e-01
3.598490e-01	7.747549e-01
3.642343e-01	7.663212e-01
3.686731e-01	7.579247e-01
3.731659e-01	7.495656e-01
3.777135e-01	7.412442e-01
3.823165e-01	7.329608e-01
3.869756e-01	7.247157e-01
3.916914e-01	7.165091e-01
3.964648e-01	7.083413e-01
4.012963e-01	7.002127e-01
4.061867e-01	6.921235e-01
4.111367e-01	6.840740e-01
4.161470e-01	6.760645e-01
4.212183e-01	6.680953e-01
4.263515e-01	6.601666e-01
4.315472e-01	6.522788e-01
4.368063e-01	6.444321e-01
4.421294e-01	6.366268e-01
4.475174e-01	6.288632e-01
4.529711e-01	6.211415e-01
4.584912e-01	6.134621e-01
4.640786e-01	6.058253e-01
4.697341e-01	5.982312e-01
4.754585e-01	5.906802e-01
4.812526e-01	5.831726e-01
4.871174e-01	5.757087e-01
4.930537e-01	5.682886e-01
4.990623e-01	5.609127e-01
5.051441e-01	5.535813e-01
5.113000e-01	5.462946e-01
5.175309e-01	5.390529e-01
5.238378e-01	5.318565e-01
5.302216e-01	5.247055e-01
5.366831e-01	5.176004e-01
5.432234e-01	5.105412e-01
5.498434e-01	5.035284e-01
5.565440e-01	4.965622e-01
5.633263e-01	4.896427e-01
5.701913e-01	4.827703e-01
5.771399e-01	4.759452e-01
5.841732e-01	4.691676e-01
5.912923e-01	4.624378e-01
5.984980e-01	4.557561e-01
6.057916e-01	4.491226e-01
